participant,trialPerBlock,runningTrialNumber,rating,rt,cueTime,image,music,cued,baselineImage,baselineMusic,baselineTarget,baselineDistractor,cuedImage,cuedMusic,baselinesMean,predRating,diffRatePred
4792,37,33,3,978.5,Post,image1.jpg,Cut_jazz_14.mp3,Music,2.0,3.0,3.0,2.0,,Cut_jazz_14.mp3,2.5,3.0,0.0
4792,38,34,2,807.0,Post,image2.jpg,Classical_7.mp3,Image,2.0,4.0,2.0,4.0,image2.jpg,,3.0,2.0,0.0
4792,39,35,8,1050.89999997616,Post,image39.jpg,Classical_19.mp3,Image,9.0,5.0,9.0,5.0,image39.jpg,,7.0,9.0,-1.0
4792,40,36,7,890.200000047684,Post,image47.jpg,Cut_jazz_7.mp3,Image,2.0,8.0,2.0,8.0,image47.jpg,,5.0,2.0,5.0
4792,41,37,8,865.5,Post,image39.jpg,Cut_jazz_2.mp3,Music,9.0,5.0,5.0,9.0,,Cut_jazz_2.mp3,7.0,5.0,3.0
4792,42,38,1,1133.69999998808,Post,image3.jpg,Classical_6.mp3,Both,1.0,1.0,,,image3.jpg,Classical_6.mp3,1.0,1.0,0.0
4792,43,39,6,1099.5,Post,image52.jpg,Cut_jazz_10.mp3,Image,8.0,2.0,8.0,2.0,image52.jpg,,5.0,8.0,-2.0
4792,44,40,1,728.100000023842,Post,image33.jpg,Classical_4.mp3,Both,1.0,1.0,,,image33.jpg,Classical_4.mp3,1.0,1.0,0.0
4792,45,41,2,640.399999976158,Post,image10.jpg,Cut_jazz_19.mp3,Music,1.0,7.0,7.0,1.0,,Cut_jazz_19.mp3,4.0,7.0,-5.0
4792,46,42,5,867.199999988079,Post,image5.jpg,Cut_jazz_7.mp3,Both,7.0,8.0,,,image5.jpg,Cut_jazz_7.mp3,7.5,7.5,-2.5
4792,47,43,1,545.0,Post,image1.jpg,Cut_jazz_19.mp3,Both,2.0,7.0,,,image1.jpg,Cut_jazz_19.mp3,4.5,4.5,-3.5
4792,48,44,1,431.199999988079,Post,image15.jpg,Classical_17.mp3,Both,2.0,3.0,,,image15.jpg,Classical_17.mp3,2.5,2.5,-1.5
4792,49,45,3,854.0,Post,image47.jpg,Cut_jazz_10.mp3,Both,2.0,2.0,,,image47.jpg,Cut_jazz_10.mp3,2.0,2.0,1.0
