"Prolific_ID","Participant.Device.Type","Trial.Number","Reaction.Time","Response","display","ImageStim","MusicStim","StimCued"
4792,"computer","4","1156.09999996424","1","Post","image34.jpg","Classical_1.mp3","Image"
4792,"computer","5","1478.09999996424","2","Post","image17.jpg","Classical_18.mp3","Image"
4792,"computer","6","1002.5","3","Post","image35.jpg","Classical_4.mp3","Image"
4792,"computer","7","1618.30000001192","4","Post","image52.jpg","Cut_jazz_5.mp3","Both"
4792,"computer","8","1441.80000001192","2","Post","image4.jpg","Cut_jazz_1.mp3","Music"
4792,"computer","9","1071.19999998808","6","Post","image20.jpg","Classical_6.mp3","Image"
4792,"computer","10","783.699999988079","5","Post","image12.jpg","Cut_jazz_16.mp3","Music"
4792,"computer","11","800.199999988079","1","Post","image4.jpg","Classical_19.mp3","Both"
4792,"computer","12","1516.80000001192","4","Post","image2.jpg","Classical_8.mp3","Both"
4792,"computer","13","1071.19999998808","1","Post","image14.jpg","Classical_18.mp3","Both"
4792,"computer","14","1247.30000001192","2","Post","image1.jpg","Cut_jazz_16.mp3","Image"
4792,"computer","15","727.899999976158","4","Post","image5.jpg","Cut_jazz_10.mp3","Music"
4792,"computer","16","1019.20000004768","7","Post","image36.jpg","Cut_jazz_2.mp3","Both"
4792,"computer","17","710.199999988079","1","Post","image14.jpg","Classical_15.mp3","Music"
4792,"computer","18","905.599999964237","2","Post","image10.jpg","Cut_jazz_16.mp3","Both"
4792,"computer","19","580.899999976158","3","Post","image20.jpg","Classical_8.mp3","Music"
4792,"computer","20","762.199999988079","4","Post","image33.jpg","Classical_1.mp3","Music"
4792,"computer","21","780.900000035763","2","Post","image14.jpg","Classical_17.mp3","Image"
4792,"computer","22","484.300000011921","2","Post","image35.jpg","Classical_2.mp3","Music"
4792,"computer","23","1274.29999995232","7","Post","image39.jpg","Cut_jazz_1.mp3","Both"
4792,"computer","24","1073.59999996424","2","Post","image15.jpg","Classical_15.mp3","Image"
4792,"computer","25","964.699999988079","2","Post","image12.jpg","Cut_jazz_14.mp3","Both"
4792,"computer","26","1060.10000002384","5","Post","image36.jpg","Classical_19.mp3","Music"
4792,"computer","27","1281.69999998808","3","Post","image3.jpg","Classical_7.mp3","Music"
4792,"computer","28","862.900000035763","2","Post","image17.jpg","Classical_17.mp3","Music"
4792,"computer","29","849.099999964237","1","Post","image34.jpg","Classical_4.mp3","Music"
4792,"computer","30","648.199999988079","2","Post","image15.jpg","Classical_18.mp3","Music"
4792,"computer","31","1123.39999997616","2","Post","image12.jpg","Cut_jazz_19.mp3","Image"
4792,"computer","32","830.699999988079","1","Post","image2.jpg","Classical_6.mp3","Music"
4792,"computer","33","908.200000047684","2","Post","image3.jpg","Classical_8.mp3","Image"
4792,"computer","34","910.199999988079","8","Post","image52.jpg","Cut_jazz_7.mp3","Music"
4792,"computer","35","674.799999952316","2","Post","image10.jpg","Cut_jazz_14.mp3","Image"
4792,"computer","36","572.899999976158","2","Post","image35.jpg","Classical_1.mp3","Both"
4792,"computer","37","978.5","3","Post","image1.jpg","Cut_jazz_14.mp3","Music"
4792,"computer","38","807","2","Post","image2.jpg","Classical_7.mp3","Image"
4792,"computer","39","1050.89999997616","8","Post","image39.jpg","Classical_19.mp3","Image"
4792,"computer","40","890.200000047684","7","Post","image47.jpg","Cut_jazz_7.mp3","Image"
4792,"computer","41","865.5","8","Post","image39.jpg","Cut_jazz_2.mp3","Music"
4792,"computer","42","1133.69999998808","1","Post","image3.jpg","Classical_6.mp3","Both"
4792,"computer","43","1099.5","6","Post","image52.jpg","Cut_jazz_10.mp3","Image"
4792,"computer","44","728.100000023842","1","Post","image33.jpg","Classical_4.mp3","Both"
4792,"computer","45","640.399999976158","2","Post","image10.jpg","Cut_jazz_19.mp3","Music"
4792,"computer","46","867.199999988079","5","Post","image5.jpg","Cut_jazz_7.mp3","Both"
4792,"computer","47","545","1","Post","image1.jpg","Cut_jazz_19.mp3","Both"
4792,"computer","48","431.199999988079","1","Post","image15.jpg","Classical_17.mp3","Both"
4792,"computer","49","854","3","Post","image47.jpg","Cut_jazz_10.mp3","Both"
4792,"computer","50","424.5","3","Post","image20.jpg","Classical_7.mp3","Both"
4792,"computer","51","457","3","Post","image47.jpg","Cut_jazz_5.mp3","Music"
4792,"computer","52","886","1","Post","image34.jpg","Classical_2.mp3","Both"
4792,"computer","53","1115.19999998808","2","Post","image17.jpg","Classical_15.mp3","Both"
4792,"computer","54","673.800000011921","1","Post","image33.jpg","Classical_2.mp3","Image"
4792,"computer","55","431.800000011921","1","Post","image4.jpg","Cut_jazz_2.mp3","Image"
4792,"computer","56","718.899999976158","3","Post","image5.jpg","Cut_jazz_5.mp3","Image"
4792,"computer","57","699","1","Post","image36.jpg","Cut_jazz_1.mp3","Image"
4792,"computer","4","1418.80000001192","2","Pre","image14.jpg","Cut_jazz_19.mp3","Both"
4792,"computer","5","1166.80000001192","1","Pre","image17.jpg","Cut_jazz_14.mp3","Both"
4792,"computer","6","1394.5","2","Pre","image35.jpg","Classical_7.mp3","Music"
4792,"computer","7","892.5","1","Pre","image1.jpg","Cut_jazz_1.mp3","Image"
4792,"computer","8","1062.30000001192","3","Pre","image47.jpg","Classical_1.mp3","Music"
4792,"computer","9","1082.5","2","Pre","image2.jpg","Classical_17.mp3","Image"
4792,"computer","10","845.600000023842","2","Pre","image39.jpg","Cut_jazz_10.mp3","Music"
4792,"computer","11","1005.19999998808","3","Pre","image20.jpg","Classical_18.mp3","Music"
4792,"computer","12","1165","2","Pre","image1.jpg","Classical_19.mp3","Music"
4792,"computer","13","916.5","1","Pre","image4.jpg","Cut_jazz_10.mp3","Image"
4792,"computer","14","848.100000023842","1","Pre","image15.jpg","Cut_jazz_16.mp3","Both"
4792,"computer","15","684","4","Pre","image5.jpg","Classical_1.mp3","Image"
4792,"computer","16","805.699999988079","1","Pre","image33.jpg","Classical_8.mp3","Both"
4792,"computer","17","1079.10000002384","1","Pre","image36.jpg","Cut_jazz_10.mp3","Both"
4792,"computer","18","980.799999952316","1","Pre","image3.jpg","Classical_18.mp3","Image"
4792,"computer","19","827.5","1","Pre","image33.jpg","Classical_7.mp3","Image"
4792,"computer","20","1448","9","Pre","image1.jpg","Cut_jazz_2.mp3","Both"
4792,"computer","21","989.899999976158","9","Pre","image4.jpg","Cut_jazz_7.mp3","Music"
4792,"computer","22","1039.69999998808","2","Pre","image20.jpg","Classical_17.mp3","Both"
4792,"computer","23","814.899999976158","1","Pre","image17.jpg","Cut_jazz_16.mp3","Music"
4792,"computer","24","853.699999988079","1","Pre","image20.jpg","Classical_15.mp3","Image"
4792,"computer","25","1203.80000001192","2","Pre","image14.jpg","Cut_jazz_14.mp3","Music"
4792,"computer","26","1458.19999998808","1","Pre","image2.jpg","Classical_15.mp3","Music"
4792,"computer","27","730.699999988079","1","Pre","image36.jpg","Cut_jazz_7.mp3","Image"
4792,"computer","28","630.200000047684","1","Pre","image14.jpg","Cut_jazz_16.mp3","Image"
