participant,avgRMSE_averaging,avgRMSE_linear_modality,avgRMSE_compress,avgRMSE_extreme,avgRes_imageWeight_linear,avgRes_a_compress,avgRes_b_compress,avgRes_a_extreme,avgRes_b_extreme
4736,1.4444444444444444,1.7379666456333294,1.1375954385821034,1.4382329184302802,0.42964500059079097,2.1082476174070224,0.7466340040886367,0.0,1.2783672760368952
4739,1.9444444444444444,2.0028880926487944,1.541239020134859,1.885932824148232,0.7826603834144615,1.1647535578393662,0.2975378931542523,-1.3333333379081602,1.0
4740,1.5,1.620585352165483,1.7593488471562455,1.867160318064412,0.7591995717872486,1.5567877616921766,0.7251827950772928,-0.04411787225766924,1.0
4742,0.9444444444444444,1.1226778731368574,0.7131903649648771,1.1584631251317274,0.6118658233041971,4.071011651677095,0.13493370469741306,-0.11274506494151819,1.0
4747,1.7222222222222223,1.721652901423762,2.0178466208760515,2.068189956351856,0.8680262769733247,0.7941864054383088,0.6924702296126074,-0.3569755505233809,1.0061841903792046
4749,1.3611111111111112,1.4743865396300189,1.5157801014842174,1.5894811778313827,0.6253878774926194,1.6383923897812829,0.7361706133971102,0.0,1.01267478822458
4753,0.9166666666666666,0.9359170508665707,1.3204829980606236,1.2123721119193394,0.748538533753083,0.0,0.9843793617260036,-1.669985535238417,1.2398627526467987
4755,1.3888888888888888,1.8445154495963243,1.523030644723484,1.6652449545500139,0.5948047557691415,1.7439507378857169,0.5438963483401542,-0.8888916171330189,1.0
4758,0.4166666666666667,0.5000619710089708,0.5326508602660202,0.5381451427637519,0.703997364907338,0.17111851101208825,0.890119546842914,-0.03104581702480543,1.0004462290674057
4760,1.4444444444444444,1.0496602350703328,1.0537657868456902,1.1981053079195891,0.8970377488499481,0.7764839545112475,0.44460346947267,-1.1666634737969108,1.0
4763,1.0,1.1789282488792854,1.0778155874889417,0.9797452129344195,0.4195378059623852,0.49999806119443907,1.0,-1.4937068167136338,1.5522052813496672
4773,1.3333333333333333,1.6655515495442683,1.6457204000390666,1.7058826667347051,0.619964249656389,1.361633638931555,0.7640476327100035,0.0,1.0309640993996354
4779,1.1111111111111112,1.123663405422404,1.1348050143570327,1.2306965676571413,0.6418880625857876,1.4593895611108343,0.746425354760479,0.0,1.0559564137180522
4783,1.7777777777777777,2.193542477489034,1.7179928019232,2.1966822782160365,0.5146447502806422,3.878969306707888,0.12398845380799337,0.0,1.002523167242744
4790,1.1111111111111112,1.3228714986205699,1.3154660696310336,1.39254861488299,0.34664114446389926,1.7808019198144511,0.6827090448472968,-0.01607926464300255,1.0028042918589863
4792,1.3333333333333333,1.6753212157474,1.5654182353879014,1.6601024444195396,0.6158999830424023,0.5595886853828216,0.6775042537644219,-0.444443672034956,1.0
4793,0.6944444444444444,0.800776031562482,0.8367074128151898,0.8269690745549902,0.6281846266502725,0.0,0.9175903186106584,-0.36263345798882274,1.0004439808660006
4797,1.5,2.0151601444518428,2.014345320734444,2.0292705549362906,0.5848652916319382,0.07150169096529352,0.8827684344098627,-0.3333277515219701,1.0
4799,1.2777777777777777,1.4818308111710572,1.361125653704968,1.547831848132831,0.29880281014611626,3.0436436635839264,0.5553837815795709,0.0,1.1048278596605803
4802,1.5,1.5878599366020412,1.0135300792248143,1.352295662314045,0.7805174488979141,1.4700193363402987,0.2394842056474046,-1.277776756389545,1.0
4813,1.3611111111111112,1.605467011426669,1.3301333997576243,1.415282330728222,0.24332840387193386,2.0293379871780743,0.6370647223896081,0.0,1.2945180192674157
4820,1.3611111111111112,1.6290858182380101,1.4474480560087735,1.59331189658854,0.5646528469689254,3.1984314487971948,0.32216724232820176,-0.3611078459391331,1.0
4822,1.5277777777777777,2.102010444083194,1.338649288843901,1.7241215109241694,0.4047140358960136,3.7803440779918365,0.5710036445355342,0.0,1.231935639910553
4823,0.9166666666666666,1.1132182910071835,0.8885597992906797,1.064209954343341,0.5356367944221183,2.7440595466882844,0.5379155258097902,0.0,1.0709073269542315
4831,1.3611111111111112,1.7145865622239573,1.708174553776833,1.712500828755878,0.5108304524239101,0.3375930289657139,0.9150207985555221,-0.15359312462455962,1.0132693157840365
4848,1.1944444444444444,1.5910982505814142,1.4812307631568573,1.5029861066195929,0.5415900496527843,0.9373023683414724,0.9488756749045572,0.0,1.0777486679169306
4849,1.25,1.2507978736043848,1.5054937449973358,1.5170520281309303,0.7425202881971633,0.3707955430181246,0.9706946737117096,0.0,1.0400694207868917
4851,1.6388888888888888,1.879022319721875,1.5201894328276795,1.6157872297614502,0.541168932839695,0.6788435325277465,0.6214249843736384,-0.9722259487696611,1.0
4852,2.111111111111111,2.4192308420247985,1.9358986959262536,2.06854415689512,0.3152156471845616,1.5841694287271144,0.44373366815955395,-1.444440620955187,1.0
4860,2.5277777777777777,2.695959351279804,2.122665441077034,2.664099472422439,0.9265288351352152,5.623174490166897,0.024111737109184416,0.0,1.2941961414871785
4862,0.9722222222222222,1.16775200218373,1.1654806848058794,1.1923853898715775,0.42636344831447154,1.428133464839656,0.7811345674745445,-0.003268118922105772,1.0088195814680505
4868,1.4166666666666667,1.6816470032145878,1.5340974590665657,1.6979010108343227,0.6407481586582132,2.8690446133795846,0.439244187444725,-0.41666379563440264,1.0
4869,0.8055555555555556,0.899882984862773,0.660270847618995,0.8012693801481847,0.7464846766151894,0.9019798923725794,0.5265734153024589,-0.5833334139447397,1.0
4870,1.6388888888888888,1.977431882960901,1.6734233234093532,1.9759900585012689,0.5357001142745269,4.220335593638002,0.18599037607689517,0.0,1.0154314944276421
4871,2.138888888888889,2.5438669345527085,1.4861709096888127,2.505777805490268,0.3282097540158347,4.863586572495347,0.297829115051075,0.0,1.1458563293284225
4876,1.3888888888888888,1.60243161085281,1.4541301693384845,1.5502801335345542,0.5252695077021263,2.9487360559300937,0.5157328725098566,0.0,1.080051933057594
4877,1.6111111111111112,1.857639503522642,1.807078542043044,1.8928934213543864,0.3519350525948611,2.152950948331503,0.6822545118830053,0.0,1.0334329944407863
4878,1.7222222222222223,1.947440990475213,1.3781970971390303,1.4351334512393445,0.3573291450092897,0.7966676721927458,0.6669643224821046,-1.388882708134078,1.0
4881,0.7222222222222222,0.9444034871688926,0.8383016345020603,0.7742241500505397,0.6013248208003928,0.0,0.8599640099874916,-0.8879148619886829,1.0556685352937878
