,score,res,rho,p
25,AReA_aesthApp,avgRes_a_extreme_preBoth,-0.4318811683662638,0.00604318707816798
61,AReA_intAesthExp,avgRes_a_extreme_preBoth,-0.39512449498445235,0.012792236719063333
97,AReA_creatBehav,avgRes_a_extreme_preBoth,-0.5843266623930978,9.394824051853986e-05
133,AReA_total,avgRes_a_extreme_preBoth,-0.5434155342539619,0.00035021421109997366
