participant,trialPerBlock,runningTrialNumber,rating,rt,cueTime,image,music,cued,baselineImage,baselineMusic,baselineTarget,baselineDistractor,cuedImage,cuedMusic,baselinesMean,predRating,diffRatePred
4801,39,35,8,1001.0,Post,image39.jpg,Classical_19.mp3,Image,9.0,7.0,9.0,7.0,image39.jpg,,8.0,9.0,-1.0
4801,40,36,6,983.0,Post,image47.jpg,Cut_jazz_7.mp3,Image,6.0,6.0,6.0,6.0,image47.jpg,,6.0,6.0,0.0
4801,41,37,7,403.0,Post,image39.jpg,Cut_jazz_2.mp3,Music,9.0,7.0,7.0,9.0,,Cut_jazz_2.mp3,8.0,7.0,0.0
4801,42,38,2,399.0,Post,image3.jpg,Classical_6.mp3,Both,6.0,2.0,,,image3.jpg,Classical_6.mp3,4.0,4.0,-2.0
4801,43,39,4,1042.0,Post,image52.jpg,Cut_jazz_10.mp3,Image,4.0,3.0,4.0,3.0,image52.jpg,,3.5,4.0,0.0
4801,44,40,6,74.0,Post,image33.jpg,Classical_4.mp3,Both,8.0,3.0,,,image33.jpg,Classical_4.mp3,5.5,5.5,0.5
4801,45,41,5,854.0,Post,image10.jpg,Cut_jazz_19.mp3,Music,3.0,4.0,4.0,3.0,,Cut_jazz_19.mp3,3.5,4.0,1.0
4801,46,42,6,1050.0,Post,image5.jpg,Cut_jazz_7.mp3,Both,3.0,6.0,,,image5.jpg,Cut_jazz_7.mp3,4.5,4.5,1.5
4801,47,43,5,1044.0,Post,image1.jpg,Cut_jazz_19.mp3,Both,6.0,4.0,,,image1.jpg,Cut_jazz_19.mp3,5.0,5.0,0.0
4801,48,44,3,1010.0,Post,image15.jpg,Classical_17.mp3,Both,1.0,7.0,,,image15.jpg,Classical_17.mp3,4.0,4.0,-1.0
4801,49,45,5,872.0,Post,image47.jpg,Cut_jazz_10.mp3,Both,6.0,3.0,,,image47.jpg,Cut_jazz_10.mp3,4.5,4.5,0.5
4801,50,46,5,451.0,Post,image20.jpg,Classical_7.mp3,Both,4.0,8.0,,,image20.jpg,Classical_7.mp3,6.0,6.0,-1.0
4801,51,47,2,441.0,Post,image47.jpg,Cut_jazz_5.mp3,Music,6.0,1.0,1.0,6.0,,Cut_jazz_5.mp3,3.5,1.0,1.0
4801,52,48,7,933.0,Post,image34.jpg,Classical_2.mp3,Both,9.0,1.0,,,image34.jpg,Classical_2.mp3,5.0,5.0,2.0
4801,53,49,4,853.0,Post,image17.jpg,Classical_15.mp3,Both,2.0,3.0,,,image17.jpg,Classical_15.mp3,2.5,2.5,1.5
4801,54,50,6,400.0,Post,image33.jpg,Classical_2.mp3,Image,8.0,1.0,8.0,1.0,image33.jpg,,4.5,8.0,-2.0
4801,55,51,3,950.0,Post,image4.jpg,Cut_jazz_2.mp3,Image,2.0,7.0,2.0,7.0,image4.jpg,,4.5,2.0,1.0
4801,56,52,7,901.0,Post,image5.jpg,Cut_jazz_5.mp3,Image,3.0,1.0,3.0,1.0,image5.jpg,,2.0,3.0,4.0
4801,57,53,6,1024.0,Post,image36.jpg,Cut_jazz_1.mp3,Image,3.0,8.0,3.0,8.0,image36.jpg,,5.5,3.0,3.0
4801,4,54,4,1009.0,Pre,image14.jpg,Cut_jazz_19.mp3,Both,3.0,4.0,,,image14.jpg,Cut_jazz_19.mp3,3.5,3.5,0.5
4801,5,55,5,985.0,Pre,image17.jpg,Cut_jazz_14.mp3,Both,2.0,6.0,,,image17.jpg,Cut_jazz_14.mp3,4.0,4.0,1.0
4801,6,56,3,982.0,Pre,image35.jpg,Classical_7.mp3,Music,4.0,8.0,8.0,4.0,,Classical_7.mp3,6.0,8.0,-5.0
4801,7,57,4,885.0,Pre,image1.jpg,Cut_jazz_1.mp3,Image,6.0,8.0,6.0,8.0,image1.jpg,,7.0,6.0,-2.0
4801,8,58,2,999.0,Pre,image47.jpg,Classical_1.mp3,Music,6.0,5.0,5.0,6.0,,Classical_1.mp3,5.5,5.0,-3.0
4801,9,59,6,424.0,Pre,image2.jpg,Classical_17.mp3,Image,5.0,7.0,5.0,7.0,image2.jpg,,6.0,5.0,1.0
4801,10,60,9,443.0,Pre,image39.jpg,Cut_jazz_10.mp3,Music,9.0,3.0,3.0,9.0,,Cut_jazz_10.mp3,6.0,3.0,6.0
4801,11,61,3,900.0,Pre,image20.jpg,Classical_18.mp3,Music,4.0,9.0,9.0,4.0,,Classical_18.mp3,6.5,9.0,-6.0
4801,12,62,5,903.0,Pre,image1.jpg,Classical_19.mp3,Music,6.0,7.0,7.0,6.0,,Classical_19.mp3,6.5,7.0,-2.0
4801,13,63,1,457.0,Pre,image4.jpg,Cut_jazz_10.mp3,Image,2.0,3.0,2.0,3.0,image4.jpg,,2.5,2.0,-1.0
4801,14,64,1,54.0,Pre,image15.jpg,Cut_jazz_16.mp3,Both,1.0,4.0,,,image15.jpg,Cut_jazz_16.mp3,2.5,2.5,-1.5
4801,15,65,4,899.0,Pre,image5.jpg,Classical_1.mp3,Image,3.0,5.0,3.0,5.0,image5.jpg,,4.0,3.0,1.0
4801,16,66,4,939.0,Pre,image33.jpg,Classical_8.mp3,Both,8.0,3.0,,,image33.jpg,Classical_8.mp3,5.5,5.5,-1.5
4801,17,67,7,66.0,Pre,image36.jpg,Cut_jazz_10.mp3,Both,3.0,3.0,,,image36.jpg,Cut_jazz_10.mp3,3.0,3.0,4.0
4801,18,68,7,895.0,Pre,image3.jpg,Classical_18.mp3,Image,6.0,9.0,6.0,9.0,image3.jpg,,7.5,6.0,1.0
4801,19,69,3,921.0,Pre,image33.jpg,Classical_7.mp3,Image,8.0,8.0,8.0,8.0,image33.jpg,,8.0,8.0,-5.0
4801,20,70,1,488.0,Pre,image1.jpg,Cut_jazz_2.mp3,Both,6.0,7.0,,,image1.jpg,Cut_jazz_2.mp3,6.5,6.5,-5.5
4801,21,71,2,871.0,Pre,image4.jpg,Cut_jazz_7.mp3,Music,2.0,6.0,6.0,2.0,,Cut_jazz_7.mp3,4.0,6.0,-4.0
4801,22,72,7,1017.0,Pre,image20.jpg,Classical_17.mp3,Both,4.0,7.0,,,image20.jpg,Classical_17.mp3,5.5,5.5,1.5
4801,23,73,3,868.0,Pre,image17.jpg,Cut_jazz_16.mp3,Music,2.0,4.0,4.0,2.0,,Cut_jazz_16.mp3,3.0,4.0,-1.0
4801,24,74,5,914.0,Pre,image20.jpg,Classical_15.mp3,Image,4.0,3.0,4.0,3.0,image20.jpg,,3.5,4.0,1.0
4801,25,75,7,840.0,Pre,image14.jpg,Cut_jazz_14.mp3,Music,3.0,6.0,6.0,3.0,,Cut_jazz_14.mp3,4.5,6.0,1.0
4801,26,76,6,898.0,Pre,image2.jpg,Classical_15.mp3,Music,5.0,3.0,3.0,5.0,,Classical_15.mp3,4.0,3.0,3.0
4801,27,77,1,458.0,Pre,image36.jpg,Cut_jazz_7.mp3,Image,3.0,6.0,3.0,6.0,image36.jpg,,4.5,3.0,-2.0
4801,28,78,8,435.0,Pre,image14.jpg,Cut_jazz_16.mp3,Image,3.0,4.0,3.0,4.0,image14.jpg,,3.5,3.0,5.0
4801,29,79,6,416.0,Pre,image33.jpg,Classical_6.mp3,Music,8.0,2.0,2.0,8.0,,Classical_6.mp3,5.0,2.0,4.0
4801,30,80,1,1027.0,Pre,image5.jpg,Classical_4.mp3,Music,3.0,3.0,3.0,3.0,,Classical_4.mp3,3.0,3.0,-2.0
4801,31,81,1,1036.0,Pre,image17.jpg,Cut_jazz_19.mp3,Image,2.0,4.0,2.0,4.0,image17.jpg,,3.0,2.0,-1.0
4801,32,82,5,1039.0,Pre,image2.jpg,Classical_18.mp3,Both,5.0,9.0,,,image2.jpg,Classical_18.mp3,7.0,7.0,-2.0
4801,33,83,4,492.0,Pre,image52.jpg,Classical_4.mp3,Image,4.0,3.0,4.0,3.0,image52.jpg,,3.5,4.0,0.0
4801,34,84,6,61.0,Pre,image10.jpg,Cut_jazz_1.mp3,Both,3.0,8.0,,,image10.jpg,Cut_jazz_1.mp3,5.5,5.5,0.5
4801,35,85,9,1035.0,Pre,image12.jpg,Classical_19.mp3,Both,9.0,7.0,,,image12.jpg,Classical_19.mp3,8.0,8.0,1.0
4801,36,86,3,857.0,Pre,image35.jpg,Classical_8.mp3,Image,4.0,3.0,4.0,3.0,image35.jpg,,3.5,4.0,-1.0
4801,37,87,5,449.0,Pre,image10.jpg,Cut_jazz_2.mp3,Music,3.0,7.0,7.0,3.0,,Cut_jazz_2.mp3,5.0,7.0,-2.0
4801,38,88,6,842.0,Pre,image3.jpg,Classical_17.mp3,Music,6.0,7.0,7.0,6.0,,Classical_17.mp3,6.5,7.0,-1.0
4801,39,89,4,453.0,Pre,image47.jpg,Classical_2.mp3,Image,6.0,1.0,6.0,1.0,image47.jpg,,3.5,6.0,-2.0
4801,40,90,5,464.0,Pre,image35.jpg,Classical_6.mp3,Both,4.0,2.0,,,image35.jpg,Classical_6.mp3,3.0,3.0,2.0
4801,41,91,6,976.0,Pre,image5.jpg,Classical_2.mp3,Both,3.0,1.0,,,image5.jpg,Classical_2.mp3,2.0,2.0,4.0
4801,42,92,2,455.0,Pre,image15.jpg,Cut_jazz_19.mp3,Music,1.0,4.0,4.0,1.0,,Cut_jazz_19.mp3,2.5,4.0,-2.0
