alpha,alpha_upperCI,alpha_lowerCI,corrs,corr_upperCI,corr_lowerCI,task
0.4539547729467826,0.678,0.168,0.47382670545773087,0.51,0.43,one-pleasure precued
0.6630197696991663,0.801,0.486,0.12405938995620569,0.18,0.07,one-pleasure postcued
0.8146611273524867,0.891,0.717,0.013867271125316044,0.07,-0.04,combined-pleasure precued
0.841237936281668,0.906,0.758,0.02587615073853538,0.08,-0.03,combined-pleasure postcued
