Prolific_ID,Participant.Device.Type,Trial.Number,Reaction.Time,Response,stimulus,modality
5001,computer,0,12.57702661,2,Images/Image1.jpg,Image
5001,computer,1,10.07868837,6,Images/Image2.jpg,Image
5001,computer,2,9.487026726,7,Images/Image3.jpg,Image
5001,computer,3,10.54039102,1,Images/Image4.jpg,Image
5001,computer,4,9.024612878,7,Images/Image5.jpg,Image
5001,computer,5,8.837539519,6,Images/Image6.jpg,Image
5001,computer,6,8.797358127,7,Images/Image7.jpg,Image
5001,computer,7,9.140937337,3,Images/Image8.jpg,Image
5001,computer,8,8.870883816,2,Images/Image9.jpg,Image
5001,computer,9,9.43555176,7,Images/Image10.jpg,Image
5001,computer,10,8.673978809,1,Images/Image11.jpg,Image
5001,computer,11,8.916699026,7,Images/Image12.jpg,Image
5001,computer,12,8.847653524,4,Images/Image13.jpg,Image
5001,computer,13,8.832343552,1,Images/Image14.jpg,Image
5001,computer,14,8.914417178,3,Images/Image15.jpg,Image
5001,computer,15,8.725525039,9,Images/Image16.jpg,Image
5001,computer,16,9.018258957,5,Images/Image17.jpg,Image
5001,computer,17,8.893664694,7,Images/Image18.jpg,Image
5001,computer,18,9.804274991,3,Musics/Music1.wav,Music
5001,computer,19,9.445326347,3,Musics/Music2.wav,Music
5001,computer,20,8.73831954,2,Musics/Music3.wav,Music
5001,computer,21,8.779460674,4,Musics/Music4.wav,Music
5001,computer,22,10.75780434,2,Musics/Music5.wav,Music
5001,computer,23,9.143247578,6,Musics/Music6.wav,Music
5001,computer,24,9.797751386,7,Musics/Music7.wav,Music
5001,computer,25,9.119822022,7,Musics/Music8.wav,Music
5001,computer,26,8.627039953,5,Musics/Music9.wav,Music
5001,computer,27,9.941100597,8,Musics/Music10.wav,Music
5001,computer,28,8.923388897,7,Musics/Music11.wav,Music
5001,computer,29,9.634966043,3,Musics/Music12.wav,Music
5001,computer,30,10.67747676,4,Musics/Music13.wav,Music
5001,computer,31,9.631563731,7,Musics/Music14.wav,Music
5001,computer,32,8.659337971,5,Musics/Music15.wav,Music
5001,computer,33,9.048979401,6,Musics/Music16.wav,Music
5001,computer,34,8.809304602,7,Musics/Music17.wav,Music
5001,computer,35,10.57039752,6,Musics/Music18.wav,Music
5002,computer,0,11.32620744,6,Images/Image1.jpg,Image
5002,computer,1,9.042579558,7,Images/Image2.jpg,Image
5002,computer,2,11.81104641,7,Images/Image3.jpg,Image
5002,computer,3,10.30494229,7,Images/Image4.jpg,Image
5002,computer,4,18.16559178,7,Images/Image5.jpg,Image
5002,computer,5,10.37930668,8,Images/Image6.jpg,Image
5002,computer,6,9.140822179,7,Images/Image7.jpg,Image
5002,computer,7,11.43141683,7,Images/Image8.jpg,Image
5002,computer,8,11.11088553,6,Images/Image9.jpg,Image
5002,computer,9,10.50561119,7,Images/Image10.jpg,Image
5002,computer,10,10.28242892,6,Images/Image11.jpg,Image
5002,computer,11,11.70128157,6,Images/Image12.jpg,Image
5002,computer,12,8.824825659,5,Images/Image13.jpg,Image
5002,computer,13,9.035947548,6,Images/Image14.jpg,Image
5002,computer,14,11.67427569,6,Images/Image15.jpg,Image
5002,computer,15,10.37993428,5,Images/Image16.jpg,Image
5002,computer,16,11.94826519,6,Images/Image17.jpg,Image
5002,computer,17,10.21193224,6,Images/Image18.jpg,Image
5002,computer,18,15.15567979,7,Musics/Music1.wav,Music
5002,computer,19,9.296725178,8,Musics/Music2.wav,Music
5002,computer,20,9.544868776,7,Musics/Music3.wav,Music
5002,computer,21,9.979413689,7,Musics/Music4.wav,Music
5002,computer,22,16.44680098,8,Musics/Music5.wav,Music
5002,computer,23,9.107124659,8,Musics/Music6.wav,Music
5002,computer,24,9.237201334,8,Musics/Music7.wav,Music
5002,computer,25,9.619674451,7,Musics/Music8.wav,Music
5002,computer,26,9.892644667,6,Musics/Music9.wav,Music
5002,computer,27,9.410505699,6,Musics/Music10.wav,Music
5002,computer,28,8.547807517,5,Musics/Music11.wav,Music
5002,computer,29,8.966331341,6,Musics/Music12.wav,Music
5002,computer,30,8.84233285,4,Musics/Music13.wav,Music
5002,computer,31,8.768535821,5,Musics/Music14.wav,Music
5002,computer,32,14.88832197,6,Musics/Music15.wav,Music
5002,computer,33,9.370929039,6,Musics/Music16.wav,Music
5002,computer,34,11.39227196,5,Musics/Music17.wav,Music
5002,computer,35,9.432817375,7,Musics/Music18.wav,Music
5003,computer,0,12.93881825,2,Images/Image1.jpg,Image
5003,computer,1,9.842841341,8,Images/Image2.jpg,Image
5003,computer,2,9.350845185,9,Images/Image3.jpg,Image
5003,computer,3,9.368315371,1,Images/Image4.jpg,Image
5003,computer,4,9.577477621,4,Images/Image5.jpg,Image
5003,computer,5,9.438528078,2,Images/Image6.jpg,Image
5003,computer,6,10.59628205,4,Images/Image7.jpg,Image
5003,computer,7,11.03431513,5,Images/Image8.jpg,Image
5003,computer,8,9.765486245,4,Images/Image9.jpg,Image
5003,computer,9,9.961743059,8,Images/Image10.jpg,Image
5003,computer,10,10.42750752,1,Images/Image11.jpg,Image
5003,computer,11,9.48291562,8,Images/Image12.jpg,Image
5003,computer,12,9.231575568,6,Images/Image13.jpg,Image
5003,computer,13,9.627909995,2,Images/Image14.jpg,Image
5003,computer,14,10.66809383,2,Images/Image15.jpg,Image
5003,computer,15,10.37431217,9,Images/Image16.jpg,Image
5003,computer,16,10.0899069,4,Images/Image17.jpg,Image
5003,computer,17,13.16487004,6,Images/Image18.jpg,Image
5003,computer,18,9.694364125,7,Musics/Music1.wav,Music
5003,computer,19,10.05753844,6,Musics/Music2.wav,Music
5003,computer,20,9.232838523,2,Musics/Music3.wav,Music
5003,computer,21,13.41237549,2,Musics/Music4.wav,Music
5003,computer,22,10.76600519,1,Musics/Music5.wav,Music
5003,computer,23,10.64052254,9,Musics/Music6.wav,Music
5003,computer,24,12.06933202,4,Musics/Music7.wav,Music
5003,computer,25,10.47798998,6,Musics/Music8.wav,Music
5003,computer,26,9.100879475,2,Musics/Music9.wav,Music
5003,computer,27,10.61717641,8,Musics/Music10.wav,Music
5003,computer,28,12.62845337,8,Musics/Music11.wav,Music
5003,computer,29,11.44189399,3,Musics/Music12.wav,Music
5003,computer,30,10.62536259,8,Musics/Music13.wav,Music
5003,computer,31,9.827642876,9,Musics/Music14.wav,Music
5003,computer,32,9.653741255,7,Musics/Music15.wav,Music
5003,computer,33,10.15338094,6,Musics/Music16.wav,Music
5003,computer,34,9.175698924,8,Musics/Music17.wav,Music
5003,computer,35,9.112975396,8,Musics/Music18.wav,Music
5004,computer,0,10.7242196,4,Images/Image1.jpg,Image
5004,computer,1,10.7015108,6,Images/Image2.jpg,Image
5004,computer,2,8.9024313,6,Images/Image3.jpg,Image
5004,computer,3,9.7121563,2,Images/Image4.jpg,Image
5004,computer,4,10.448587,4,Images/Image5.jpg,Image
5004,computer,5,9.8186835,2,Images/Image6.jpg,Image
5004,computer,6,9.1431279,4,Images/Image7.jpg,Image
5004,computer,7,9.0879974,4,Images/Image8.jpg,Image
5004,computer,8,10.8109299,2,Images/Image9.jpg,Image
5004,computer,9,9.3293041,6,Images/Image10.jpg,Image
5004,computer,10,9.3385665,2,Images/Image11.jpg,Image
5004,computer,11,10.3226043,6,Images/Image12.jpg,Image
5004,computer,12,9.2988431,3,Images/Image13.jpg,Image
5004,computer,13,9.2658718,2,Images/Image14.jpg,Image
5004,computer,14,9.0027874,1,Images/Image15.jpg,Image
5004,computer,15,9.6515761,7,Images/Image16.jpg,Image
5004,computer,16,9.7130771,4,Images/Image17.jpg,Image
5004,computer,17,9.5566852,6,Images/Image18.jpg,Image
5004,computer,18,12.6243599,4,Musics/Music1.wav,Music
5004,computer,19,9.8905306,4,Musics/Music2.wav,Music
5004,computer,20,10.2519899,5,Musics/Music3.wav,Music
5004,computer,21,9.5590097,5,Musics/Music4.wav,Music
5004,computer,22,12.3400482,2,Musics/Music5.wav,Music
5004,computer,23,10.0626489,6,Musics/Music6.wav,Music
5004,computer,24,9.2685436,6,Musics/Music7.wav,Music
5004,computer,25,10.7665913,4,Musics/Music8.wav,Music
5004,computer,26,9.1114854,6,Musics/Music9.wav,Music
5004,computer,27,9.3603674,7,Musics/Music10.wav,Music
5004,computer,28,9.1808757,7,Musics/Music11.wav,Music
5004,computer,29,9.0086748,8,Musics/Music12.wav,Music
5004,computer,30,9.2603108,7,Musics/Music13.wav,Music
5004,computer,31,9.0277719,9,Musics/Music14.wav,Music
5004,computer,32,9.6197908,7,Musics/Music15.wav,Music
5004,computer,33,9.3970372,7,Musics/Music16.wav,Music
5004,computer,34,9.3766056,6,Musics/Music17.wav,Music
5004,computer,35,9.4568077,7,Musics/Music18.wav,Music
5005,computer,0,19.17828304,3,Images/Image1.jpg,Image
5005,computer,1,9.373729764,6,Images/Image2.jpg,Image
5005,computer,2,15.65022875,4,Images/Image3.jpg,Image
5005,computer,3,12.35801848,3,Images/Image4.jpg,Image
5005,computer,4,10.43559017,6,Images/Image5.jpg,Image
5005,computer,5,9.324640283,4,Images/Image6.jpg,Image
5005,computer,6,9.951567232,4,Images/Image7.jpg,Image
5005,computer,7,9.016733587,6,Images/Image8.jpg,Image
5005,computer,8,9.340741487,2,Images/Image9.jpg,Image
5005,computer,9,10.21587925,3,Images/Image10.jpg,Image
5005,computer,10,9.555342389,3,Images/Image11.jpg,Image
5005,computer,11,9.185937728,6,Images/Image12.jpg,Image
5005,computer,12,9.139061663,5,Images/Image13.jpg,Image
5005,computer,13,8.90917076,6,Images/Image14.jpg,Image
5005,computer,14,9.54137237,3,Images/Image15.jpg,Image
5005,computer,15,9.205805053,7,Images/Image16.jpg,Image
5005,computer,16,9.56638501,6,Images/Image17.jpg,Image
5005,computer,17,9.152660338,6,Images/Image18.jpg,Image
5005,computer,18,9.448000084,4,Musics/Music1.wav,Music
5005,computer,19,9.226054284,6,Musics/Music2.wav,Music
5005,computer,20,9.998552049,6,Musics/Music3.wav,Music
5005,computer,21,17.21656261,4,Musics/Music4.wav,Music
5005,computer,22,10.05284348,3,Musics/Music5.wav,Music
5005,computer,23,9.144161815,6,Musics/Music6.wav,Music
5005,computer,24,9.073399309,7,Musics/Music7.wav,Music
