participant,AREA_1,AREA_2,AREA_3,AREA_4,AREA_5,AREA_6,AREA_7,AREA_8,AREA_9,AREA_10,AREA_11,AREA_12,AREA_13,AREA_14,BMRQ_1,BMRQ_2,BMRQ_3,BMRQ_4,BMRQ_5,BMRQ_6,BMRQ_7,BMRQ_8,BMRQ_9,BMRQ_10,BMRQ_11,BMRQ_12,BMRQ_13,BMRQ_14,BMRQ_15,BMRQ_16,BMRQ_17,BMRQ_18,BMRQ_19,BMRQ_20,Sex,Age,Ed,Race,YrsMusic,YrsArt,AReA_aesthApp,AReA_intAesthExp,AReA_creatBehav,AReA_total,BMRQ_sum,BMRQ_musicSeeking,BMRQ_emoEvoc,BMRQ_moodReg,BMRQ_sensMot,BMRQ_social,BMRQ_musicRew
5025.0,3.0,1.0,5.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,Male,17.0,10.0,Yellow,0.0,0.0,31.0,18.0,11.0,56.0,67.0,32.0,34.0,37.0,51.0,50.0,36.0
5026.0,5.0,1.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,1.0,5.0,2.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,Male,18.0,13.0,Yellow,12.0,0.0,35.0,13.0,12.0,55.0,81.0,23.0,62.0,34.0,47.0,62.0,44.0
5027.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,1.0,4.0,5.0,1.0,4.0,3.0,2.0,3.0,4.0,4.0,Female,18.0,15.0,Yellow,4.0,0.0,36.0,19.0,11.0,61.0,74.0,23.0,44.0,33.0,39.0,64.0,36.0
5028.0,4.0,1.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,Female,21.0,15.0,Yellow,4.0,2.0,34.0,19.0,10.0,59.0,80.0,40.0,49.0,39.0,46.0,53.0,43.0
5029.0,5.0,1.0,4.0,3.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,1.0,4.0,3.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,Female,19.0,16.0,Yellow,6.0,0.0,31.0,20.0,11.0,57.0,76.0,33.0,50.0,39.0,42.0,62.0,43.0
5030.0,5.0,1.0,5.0,4.0,1.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,3.0,2.0,2.0,4.0,5.0,1.0,4.0,5.0,4.0,2.0,4.0,1.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,Male,20.0,14.0,Yellow,2.0,1.0,33.0,18.0,9.0,56.0,72.0,31.0,40.0,46.0,46.0,64.0,43.0
5031.0,4.0,1.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Female,20.0,11.0,Yellow,4.0,4.0,35.0,20.0,10.0,60.0,97.0,51.0,50.0,57.0,50.0,67.0,57.0
5032.0,4.0,2.0,4.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,Female,19.0,15.0,Yellow,3.0,1.0,29.0,12.0,9.0,47.0,84.0,46.0,54.0,34.0,46.0,59.0,46.0
5033.0,5.0,1.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,Female,18.0,12.0,Yellow,1.0,1.0,35.0,19.0,11.0,60.0,88.0,37.0,55.0,62.0,48.0,57.0,53.0
5034.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,3.0,5.0,3.0,5.0,3.0,5.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,4.0,5.0,4.0,Female,20.0,14.0,Yellow,0.0,0.0,23.0,4.0,3.0,29.0,59.0,24.0,38.0,27.0,46.0,53.0,32.0
