"Prolific_ID","Participant.Device.Type","Trial.Number","Reaction.Time","Response","display","ImageStim","MusicStim","StimCued"
"5ddb5ed4a64380abb2907440","computer","4","1216","1","Post","image34.jpg","Classical_1.mp3","Image"
"5ddb5ed4a64380abb2907440","computer","5","868","7","Post","image17.jpg","Classical_18.mp3","Image"
"5ddb5ed4a64380abb2907440","computer","6","959","2","Post","image35.jpg","Classical_4.mp3","Image"
"5ddb5ed4a64380abb2907440","computer","7","1791","6","Post","image52.jpg","Cut_jazz_5.mp3","Both"
"5ddb5ed4a64380abb2907440","computer","8","4172","4","Post","image4.jpg","Cut_jazz_1.mp3","Music"
"5ddb5ed4a64380abb2907440","computer","9","1580","8","Post","image20.jpg","Classical_6.mp3","Image"
"5ddb5ed4a64380abb2907440","computer","10","1861","4","Post","image12.jpg","Cut_jazz_16.mp3","Music"
"5ddb5ed4a64380abb2907440","computer","11","1422","1","Post","image4.jpg","Classical_19.mp3","Both"
"5ddb5ed4a64380abb2907440","computer","12","1251","7","Post","image2.jpg","Classical_8.mp3","Both"
"5ddb5ed4a64380abb2907440","computer","13","1343","5","Post","image14.jpg","Classical_18.mp3","Both"
"5ddb5ed4a64380abb2907440","computer","14","1390","1","Post","image1.jpg","Cut_jazz_16.mp3","Image"
"5ddb5ed4a64380abb2907440","computer","15","2093","4","Post","image5.jpg","Cut_jazz_10.mp3","Music"
"5ddb5ed4a64380abb2907440","computer","16","1287","4","Post","image36.jpg","Cut_jazz_2.mp3","Both"
"5ddb5ed4a64380abb2907440","computer","17","1489","7","Post","image14.jpg","Classical_15.mp3","Music"
"5ddb5ed4a64380abb2907440","computer","18","1844","4","Post","image10.jpg","Cut_jazz_16.mp3","Both"
"5ddb5ed4a64380abb2907440","computer","19","975","7","Post","image20.jpg","Classical_8.mp3","Music"
"5ddb5ed4a64380abb2907440","computer","20","968","6","Post","image33.jpg","Classical_1.mp3","Music"
"5ddb5ed4a64380abb2907440","computer","21","1308","9","Post","image14.jpg","Classical_17.mp3","Image"
"5ddb5ed4a64380abb2907440","computer","22","1239","3","Post","image35.jpg","Classical_2.mp3","Music"
"5ddb5ed4a64380abb2907440","computer","23","1474","6","Post","image39.jpg","Cut_jazz_1.mp3","Both"
"5ddb5ed4a64380abb2907440","computer","24","916","1","Post","image15.jpg","Classical_15.mp3","Image"
"5ddb5ed4a64380abb2907440","computer","25","2868","2","Post","image12.jpg","Cut_jazz_14.mp3","Both"
"5ddb5ed4a64380abb2907440","computer","26","1313","6","Post","image36.jpg","Classical_19.mp3","Music"
"5ddb5ed4a64380abb2907440","computer","27","1755","6","Post","image3.jpg","Classical_7.mp3","Music"
"5ddb5ed4a64380abb2907440","computer","28","1377","5","Post","image17.jpg","Classical_17.mp3","Music"
"5ddb5ed4a64380abb2907440","computer","29","2456","6","Post","image34.jpg","Classical_4.mp3","Music"
"5ddb5ed4a64380abb2907440","computer","30","1109","5","Post","image15.jpg","Classical_18.mp3","Music"
"5ddb5ed4a64380abb2907440","computer","31","1941","2","Post","image12.jpg","Cut_jazz_19.mp3","Image"
"5ddb5ed4a64380abb2907440","computer","32","1822","7","Post","image2.jpg","Classical_6.mp3","Music"
"5ddb5ed4a64380abb2907440","computer","33","868","7","Post","image3.jpg","Classical_8.mp3","Image"
"5ddb5ed4a64380abb2907440","computer","34","1271","6","Post","image52.jpg","Cut_jazz_7.mp3","Music"
"5ddb5ed4a64380abb2907440","computer","35","2185","3","Post","image10.jpg","Cut_jazz_14.mp3","Image"
"5ddb5ed4a64380abb2907440","computer","36","1584","5","Post","image35.jpg","Classical_1.mp3","Both"
"5ddb5ed4a64380abb2907440","computer","37","1189","3","Post","image1.jpg","Cut_jazz_14.mp3","Music"
"5ddb5ed4a64380abb2907440","computer","38","1421","6","Post","image2.jpg","Classical_7.mp3","Image"
"5ddb5ed4a64380abb2907440","computer","39","936","6","Post","image39.jpg","Classical_19.mp3","Image"
"5ddb5ed4a64380abb2907440","computer","40","576","1","Post","image47.jpg","Cut_jazz_7.mp3","Image"
