alpha,alpha_upperCI,alpha_lowerCI,corrs,corr_upperCI,corr_lowerCI,task
0.6251762112944024,0.796,0.399,0.46802312041290894,0.51,0.42,one-pleasure precued
0.7278442211749747,0.852,0.564,0.15863818826891865,0.22,0.1,one-pleasure postcued
0.8758398393082261,0.932,0.801,0.011978784203975166,0.07,-0.05,combined-pleasure precued
0.8615827440918338,0.925,0.778,-0.038796888476383275,0.02,-0.1,combined-pleasure postcued
