participant,trialPerBlock,runningTrialNumber,rating,rt,cueTime,image,music,cued,baselineImage,baselineMusic,baselineTarget,baselineDistractor,cuedImage,cuedMusic,baselinesMean,predRating,diffRatePred
5ddb5ed4a64380abb2907440,33,29,7,868.0,Post,image3.jpg,Classical_8.mp3,Image,7.0,5.0,7.0,5.0,image3.jpg,,6.0,7.0,0.0
5ddb5ed4a64380abb2907440,34,30,6,1271.0,Post,image52.jpg,Cut_jazz_7.mp3,Music,7.0,5.0,5.0,7.0,,Cut_jazz_7.mp3,6.0,5.0,1.0
5ddb5ed4a64380abb2907440,35,31,3,2185.0,Post,image10.jpg,Cut_jazz_14.mp3,Image,3.0,7.0,3.0,7.0,image10.jpg,,5.0,3.0,0.0
5ddb5ed4a64380abb2907440,36,32,5,1584.0,Post,image35.jpg,Classical_1.mp3,Both,5.0,6.0,,,image35.jpg,Classical_1.mp3,5.5,5.5,-0.5
5ddb5ed4a64380abb2907440,37,33,3,1189.0,Post,image1.jpg,Cut_jazz_14.mp3,Music,2.0,7.0,7.0,2.0,,Cut_jazz_14.mp3,4.5,7.0,-4.0
5ddb5ed4a64380abb2907440,38,34,6,1421.0,Post,image2.jpg,Classical_7.mp3,Image,8.0,6.0,8.0,6.0,image2.jpg,,7.0,8.0,-2.0
5ddb5ed4a64380abb2907440,39,35,6,936.0,Post,image39.jpg,Classical_19.mp3,Image,6.0,7.0,6.0,7.0,image39.jpg,,6.5,6.0,0.0
5ddb5ed4a64380abb2907440,40,36,1,576.0,Post,image47.jpg,Cut_jazz_7.mp3,Image,2.0,5.0,2.0,5.0,image47.jpg,,3.5,2.0,-1.0
5ddb5ed4a64380abb2907440,41,37,6,1358.0,Post,image39.jpg,Cut_jazz_2.mp3,Music,6.0,4.0,4.0,6.0,,Cut_jazz_2.mp3,5.0,4.0,2.0
5ddb5ed4a64380abb2907440,42,38,5,573.0,Post,image3.jpg,Classical_6.mp3,Both,7.0,5.0,,,image3.jpg,Classical_6.mp3,6.0,6.0,-1.0
5ddb5ed4a64380abb2907440,43,39,5,868.0,Post,image52.jpg,Cut_jazz_10.mp3,Image,7.0,2.0,7.0,2.0,image52.jpg,,4.5,7.0,-2.0
5ddb5ed4a64380abb2907440,44,40,7,1246.0,Post,image33.jpg,Classical_4.mp3,Both,3.0,6.0,,,image33.jpg,Classical_4.mp3,4.5,4.5,2.5
5ddb5ed4a64380abb2907440,45,41,5,1023.0,Post,image10.jpg,Cut_jazz_19.mp3,Music,3.0,6.0,6.0,3.0,,Cut_jazz_19.mp3,4.5,6.0,-1.0
5ddb5ed4a64380abb2907440,46,42,7,1814.0,Post,image5.jpg,Cut_jazz_7.mp3,Both,8.0,5.0,,,image5.jpg,Cut_jazz_7.mp3,6.5,6.5,0.5
5ddb5ed4a64380abb2907440,47,43,6,1020.0,Post,image1.jpg,Cut_jazz_19.mp3,Both,2.0,6.0,,,image1.jpg,Cut_jazz_19.mp3,4.0,4.0,2.0
5ddb5ed4a64380abb2907440,48,44,3,1736.0,Post,image15.jpg,Classical_17.mp3,Both,1.0,5.0,,,image15.jpg,Classical_17.mp3,3.0,3.0,0.0
5ddb5ed4a64380abb2907440,49,45,2,2016.0,Post,image47.jpg,Cut_jazz_10.mp3,Both,2.0,2.0,,,image47.jpg,Cut_jazz_10.mp3,2.0,2.0,0.0
5ddb5ed4a64380abb2907440,50,46,6,1749.0,Post,image20.jpg,Classical_7.mp3,Both,7.0,6.0,,,image20.jpg,Classical_7.mp3,6.5,6.5,-0.5
5ddb5ed4a64380abb2907440,51,47,3,2212.0,Post,image47.jpg,Cut_jazz_5.mp3,Music,2.0,2.0,2.0,2.0,,Cut_jazz_5.mp3,2.0,2.0,1.0
5ddb5ed4a64380abb2907440,52,48,1,732.0,Post,image34.jpg,Classical_2.mp3,Both,1.0,5.0,,,image34.jpg,Classical_2.mp3,3.0,3.0,-2.0
5ddb5ed4a64380abb2907440,53,49,7,938.0,Post,image17.jpg,Classical_15.mp3,Both,7.0,5.0,,,image17.jpg,Classical_15.mp3,6.0,6.0,1.0
5ddb5ed4a64380abb2907440,54,50,2,921.0,Post,image33.jpg,Classical_2.mp3,Image,3.0,5.0,3.0,5.0,image33.jpg,,4.0,3.0,-1.0
5ddb5ed4a64380abb2907440,55,51,1,786.0,Post,image4.jpg,Cut_jazz_2.mp3,Image,1.0,4.0,1.0,4.0,image4.jpg,,2.5,1.0,0.0
5ddb5ed4a64380abb2907440,56,52,7,943.0,Post,image5.jpg,Cut_jazz_5.mp3,Image,8.0,2.0,8.0,2.0,image5.jpg,,5.0,8.0,-1.0
5ddb5ed4a64380abb2907440,57,53,1,1344.0,Post,image36.jpg,Cut_jazz_1.mp3,Image,2.0,3.0,2.0,3.0,image36.jpg,,2.5,2.0,-1.0
5ddb5ed4a64380abb2907440,4,54,8,2253.0,Pre,image14.jpg,Cut_jazz_19.mp3,Both,8.0,6.0,,,image14.jpg,Cut_jazz_19.mp3,7.0,7.0,1.0
5ddb5ed4a64380abb2907440,5,55,7,819.0,Pre,image17.jpg,Cut_jazz_14.mp3,Both,7.0,7.0,,,image17.jpg,Cut_jazz_14.mp3,7.0,7.0,0.0
5ddb5ed4a64380abb2907440,6,56,5,1527.0,Pre,image35.jpg,Classical_7.mp3,Music,5.0,6.0,6.0,5.0,,Classical_7.mp3,5.5,6.0,-1.0
5ddb5ed4a64380abb2907440,7,57,1,1120.0,Pre,image1.jpg,Cut_jazz_1.mp3,Image,2.0,3.0,2.0,3.0,image1.jpg,,2.5,2.0,-1.0
5ddb5ed4a64380abb2907440,8,58,6,1336.0,Pre,image47.jpg,Classical_1.mp3,Music,2.0,6.0,6.0,2.0,,Classical_1.mp3,4.0,6.0,0.0
5ddb5ed4a64380abb2907440,9,59,8,1808.0,Pre,image2.jpg,Classical_17.mp3,Image,8.0,5.0,8.0,5.0,image2.jpg,,6.5,8.0,0.0
5ddb5ed4a64380abb2907440,10,60,2,1374.0,Pre,image39.jpg,Cut_jazz_10.mp3,Music,6.0,2.0,2.0,6.0,,Cut_jazz_10.mp3,4.0,2.0,0.0
5ddb5ed4a64380abb2907440,11,61,7,1132.0,Pre,image20.jpg,Classical_18.mp3,Music,7.0,4.0,4.0,7.0,,Classical_18.mp3,5.5,4.0,3.0
5ddb5ed4a64380abb2907440,12,62,5,1300.0,Pre,image1.jpg,Classical_19.mp3,Music,2.0,7.0,7.0,2.0,,Classical_19.mp3,4.5,7.0,-2.0
5ddb5ed4a64380abb2907440,13,63,1,989.0,Pre,image4.jpg,Cut_jazz_10.mp3,Image,1.0,2.0,1.0,2.0,image4.jpg,,1.5,1.0,0.0
5ddb5ed4a64380abb2907440,14,64,2,2692.0,Pre,image15.jpg,Cut_jazz_16.mp3,Both,1.0,4.0,,,image15.jpg,Cut_jazz_16.mp3,2.5,2.5,-0.5
5ddb5ed4a64380abb2907440,15,65,7,1702.0,Pre,image5.jpg,Classical_1.mp3,Image,8.0,6.0,8.0,6.0,image5.jpg,,7.0,8.0,-1.0
5ddb5ed4a64380abb2907440,16,66,3,967.0,Pre,image33.jpg,Classical_8.mp3,Both,3.0,5.0,,,image33.jpg,Classical_8.mp3,4.0,4.0,-1.0
5ddb5ed4a64380abb2907440,17,67,3,911.0,Pre,image36.jpg,Cut_jazz_10.mp3,Both,2.0,2.0,,,image36.jpg,Cut_jazz_10.mp3,2.0,2.0,1.0
5ddb5ed4a64380abb2907440,18,68,6,3639.0,Pre,image3.jpg,Classical_18.mp3,Image,7.0,4.0,7.0,4.0,image3.jpg,,5.5,7.0,-1.0
5ddb5ed4a64380abb2907440,19,69,5,1022.0,Pre,image33.jpg,Classical_7.mp3,Image,3.0,6.0,3.0,6.0,image33.jpg,,4.5,3.0,2.0
5ddb5ed4a64380abb2907440,20,70,2,994.0,Pre,image1.jpg,Cut_jazz_2.mp3,Both,2.0,4.0,,,image1.jpg,Cut_jazz_2.mp3,3.0,3.0,-1.0
5ddb5ed4a64380abb2907440,21,71,2,2135.0,Pre,image4.jpg,Cut_jazz_7.mp3,Music,1.0,5.0,5.0,1.0,,Cut_jazz_7.mp3,3.0,5.0,-3.0
5ddb5ed4a64380abb2907440,22,72,8,1408.0,Pre,image20.jpg,Classical_17.mp3,Both,7.0,5.0,,,image20.jpg,Classical_17.mp3,6.0,6.0,2.0
5ddb5ed4a64380abb2907440,23,73,7,1556.0,Pre,image17.jpg,Cut_jazz_16.mp3,Music,7.0,4.0,4.0,7.0,,Cut_jazz_16.mp3,5.5,4.0,3.0
5ddb5ed4a64380abb2907440,24,74,8,1286.0,Pre,image20.jpg,Classical_15.mp3,Image,7.0,5.0,7.0,5.0,image20.jpg,,6.0,7.0,1.0
5ddb5ed4a64380abb2907440,25,75,6,1375.0,Pre,image14.jpg,Cut_jazz_14.mp3,Music,8.0,7.0,7.0,8.0,,Cut_jazz_14.mp3,7.5,7.0,-1.0
5ddb5ed4a64380abb2907440,26,76,6,902.0,Pre,image2.jpg,Classical_15.mp3,Music,8.0,5.0,5.0,8.0,,Classical_15.mp3,6.5,5.0,1.0
5ddb5ed4a64380abb2907440,27,77,2,830.0,Pre,image36.jpg,Cut_jazz_7.mp3,Image,2.0,5.0,2.0,5.0,image36.jpg,,3.5,2.0,0.0
5ddb5ed4a64380abb2907440,28,78,8,1795.0,Pre,image14.jpg,Cut_jazz_16.mp3,Image,8.0,4.0,8.0,4.0,image14.jpg,,6.0,8.0,0.0
5ddb5ed4a64380abb2907440,29,79,5,1256.0,Pre,image33.jpg,Classical_6.mp3,Music,3.0,5.0,5.0,3.0,,Classical_6.mp3,4.0,5.0,0.0
5ddb5ed4a64380abb2907440,30,80,6,1484.0,Pre,image5.jpg,Classical_4.mp3,Music,8.0,6.0,6.0,8.0,,Classical_4.mp3,7.0,6.0,0.0
5ddb5ed4a64380abb2907440,31,81,8,1605.0,Pre,image17.jpg,Cut_jazz_19.mp3,Image,7.0,6.0,7.0,6.0,image17.jpg,,6.5,7.0,1.0
5ddb5ed4a64380abb2907440,32,82,6,1459.0,Pre,image2.jpg,Classical_18.mp3,Both,8.0,4.0,,,image2.jpg,Classical_18.mp3,6.0,6.0,0.0
5ddb5ed4a64380abb2907440,33,83,6,1265.0,Pre,image52.jpg,Classical_4.mp3,Image,7.0,6.0,7.0,6.0,image52.jpg,,6.5,7.0,-1.0
5ddb5ed4a64380abb2907440,34,84,2,1225.0,Pre,image10.jpg,Cut_jazz_1.mp3,Both,3.0,3.0,,,image10.jpg,Cut_jazz_1.mp3,3.0,3.0,-1.0
5ddb5ed4a64380abb2907440,35,85,6,1415.0,Pre,image12.jpg,Classical_19.mp3,Both,2.0,7.0,,,image12.jpg,Classical_19.mp3,4.5,4.5,1.5
5ddb5ed4a64380abb2907440,36,86,2,1362.0,Pre,image35.jpg,Classical_8.mp3,Image,5.0,5.0,5.0,5.0,image35.jpg,,5.0,5.0,-3.0
5ddb5ed4a64380abb2907440,37,87,3,1027.0,Pre,image10.jpg,Cut_jazz_2.mp3,Music,3.0,4.0,4.0,3.0,,Cut_jazz_2.mp3,3.5,4.0,-1.0
5ddb5ed4a64380abb2907440,38,88,6,1310.0,Pre,image3.jpg,Classical_17.mp3,Music,7.0,5.0,5.0,7.0,,Classical_17.mp3,6.0,5.0,1.0
5ddb5ed4a64380abb2907440,39,89,2,1240.0,Pre,image47.jpg,Classical_2.mp3,Image,2.0,5.0,2.0,5.0,image47.jpg,,3.5,2.0,0.0
5ddb5ed4a64380abb2907440,40,90,4,1571.0,Pre,image35.jpg,Classical_6.mp3,Both,5.0,5.0,,,image35.jpg,Classical_6.mp3,5.0,5.0,-1.0
5ddb5ed4a64380abb2907440,41,91,7,931.0,Pre,image5.jpg,Classical_2.mp3,Both,8.0,5.0,,,image5.jpg,Classical_2.mp3,6.5,6.5,0.5
5ddb5ed4a64380abb2907440,42,92,5,1498.0,Pre,image15.jpg,Cut_jazz_19.mp3,Music,1.0,6.0,6.0,1.0,,Cut_jazz_19.mp3,3.5,6.0,-1.0
5ddb5ed4a64380abb2907440,43,93,6,2068.0,Pre,image39.jpg,Cut_jazz_7.mp3,Both,6.0,5.0,,,image39.jpg,Cut_jazz_7.mp3,5.5,5.5,0.5
5ddb5ed4a64380abb2907440,44,94,1,1136.0,Pre,image4.jpg,Cut_jazz_5.mp3,Both,1.0,2.0,,,image4.jpg,Cut_jazz_5.mp3,1.5,1.5,-0.5
5ddb5ed4a64380abb2907440,45,95,3,1560.0,Pre,image47.jpg,Classical_4.mp3,Both,2.0,6.0,,,image47.jpg,Classical_4.mp3,4.0,4.0,-1.0
5ddb5ed4a64380abb2907440,46,96,4,1054.0,Pre,image3.jpg,Classical_15.mp3,Both,7.0,5.0,,,image3.jpg,Classical_15.mp3,6.0,6.0,-2.0
5ddb5ed4a64380abb2907440,47,97,3,26161.0,Pre,image12.jpg,Cut_jazz_2.mp3,Image,2.0,4.0,2.0,4.0,image12.jpg,,3.0,2.0,1.0
5ddb5ed4a64380abb2907440,48,98,2,1623.0,Pre,image36.jpg,Cut_jazz_5.mp3,Music,2.0,2.0,2.0,2.0,,Cut_jazz_5.mp3,2.0,2.0,0.0
5ddb5ed4a64380abb2907440,49,99,4,2045.0,Pre,image10.jpg,Classical_19.mp3,Image,3.0,7.0,3.0,7.0,image10.jpg,,5.0,3.0,1.0
5ddb5ed4a64380abb2907440,50,100,2,2457.0,Pre,image34.jpg,Classical_7.mp3,Both,1.0,6.0,,,image34.jpg,Classical_7.mp3,3.5,3.5,-1.5
5ddb5ed4a64380abb2907440,51,101,6,983.0,Pre,image52.jpg,Classical_1.mp3,Both,7.0,6.0,,,image52.jpg,Classical_1.mp3,6.5,6.5,-0.5
5ddb5ed4a64380abb2907440,52,102,6,2677.0,Pre,image39.jpg,Cut_jazz_5.mp3,Image,6.0,2.0,6.0,2.0,image39.jpg,,4.0,6.0,0.0
5ddb5ed4a64380abb2907440,53,103,6,983.0,Pre,image52.jpg,Classical_2.mp3,Music,7.0,5.0,5.0,7.0,,Classical_2.mp3,6.0,5.0,1.0
5ddb5ed4a64380abb2907440,54,104,5,1501.0,Pre,image34.jpg,Classical_8.mp3,Music,1.0,5.0,5.0,1.0,,Classical_8.mp3,3.0,5.0,0.0
5ddb5ed4a64380abb2907440,55,105,6,1007.0,Pre,image12.jpg,Cut_jazz_1.mp3,Music,2.0,3.0,3.0,2.0,,Cut_jazz_1.mp3,2.5,3.0,3.0
5ddb5ed4a64380abb2907440,56,106,2,1579.0,Pre,image34.jpg,Classical_6.mp3,Image,1.0,5.0,1.0,5.0,image34.jpg,,3.0,1.0,1.0
